# word	AvgPosScore	AvgNegScore
snatch	0.0416666666667	0.0833333333333
retrogressive	0.125	0.375
indispose	0.0	0.333333333333
juiceless	0.3125	0.3125
melinae	0.0	0.5
adoptable	0.75	0.0
anthropomorphous	0.125	0.0
judiciousness	0.5	0.0
unmelodious	0.125	0.4375
galvanization	0.25	0.0
unburied	0.0	0.25
wandering	0.1875	0.125
fundamentalistic	0.0	0.375
sumptuous	0.75	0.0
juglans	0.0	0.125
turned	0.0	0.25
balsam	0.0833333333333	0.0833333333333
beehive	0.0	0.25
erudition	0.375	0.0
soundable	0.5	0.0
fashionable	0.5	0.125
unmechanical	0.0	0.25
fashionably	0.125	0.0
pimple	0.0	0.25
aggeus	0.0	0.25
sanctimoniously	0.25	0.0
creditably	0.125	0.0
opposite	0.208333333333	0.145833333333
buffer	0.0625	0.0625
discerning	0.5	0.03125
sainted	0.625	0.0
evaluator	0.25	0.25
knowingly	0.125	0.0
creditable	0.5	0.0
unpronounceable	0.0625	0.5625
captivatingly	0.25	0.0
ambulate	0.0	0.625
touchy	0.125	0.5
tumblebug	0.0	0.125
jitters	0.25	0.25
jittery	0.375	0.125
sorriness	0.375	0.125
subjacent	0.0	0.125
fecal	0.0	0.25
deprecative	0.0625	0.6875
elan	0.375	0.0
inconsistent	0.125	0.583333333333
dieback	0.125	0.25
aggressive	0.3125	0.125
reconciling	0.625	0.125
coaxing	0.0	0.125
nonbeing	0.0	0.125
methapyrilene	0.0	0.375
guarded	0.625	0.0
tumultuousness	0.0	0.125
unnotched	0.375	0.0
ulteriorly	0.25	0.0
mechanization	0.25	0.0
perspicacity	0.125	0.0
keenly	0.25	0.0
brominate	0.0	0.25
dissoluble	0.5	0.0
directiveness	0.5	0.25
tike	0.0	0.25
vision	0.125	0.3125
morose	0.25	0.625
attenuated	0.0	0.375
unaccented	0.125	0.25
mediacy	0.375	0.25
audaciously	0.125	0.0
polyneuritis	0.0	0.75
intoxicating	0.1875	0.375
refresher	0.0	0.25
mitigative	0.0	0.625
abasia	0.125	0.625
vaccinee	0.125	0.0
abasic	0.125	0.375
alarming	0.0	0.5
saluki	0.125	0.0
refreshed	0.25	0.0
satiety	0.0	0.625
sistrurus	0.25	0.0
illiberal	0.25	0.25
moony	0.25	0.25
distrain	0.0	0.625
proterozoic	0.125	0.0625
distrait	0.0	0.25
foppishness	0.375	0.0
uncharacteristically	0.25	0.0
concentrated	0.1875	0.375
majestically	0.375	0.0
penitently	0.375	0.0
tumesce	0.0	0.25
raggedness	0.0625	0.4375
grooming	0.125	0.0
roominess	0.0	0.25
gaiety	0.625	0.0
buoyancy	0.333333333333	0.0833333333333
bribable	0.625	0.0
moistly	0.125	0.0
affirmable	0.625	0.0
incubation	0.375	0.0
practised	0.375	0.0
paedophilia	0.125	0.125
unconditioned	0.0	0.375
abject	0.28125	0.59375
extant	0.0	0.625
former	0.0	0.1875
amoralism	0.625	0.125
pretence	0.03125	0.46875
provost	0.375	0.0
spruceness	0.375	0.0
defeatism	0.25	0.125
fiducial	0.25	0.125
crossbencher	0.0	0.5
eightpence	0.125	0.0
situation	0.0	0.25
unsentimentally	0.25	0.0
hemoglobinemia	0.0	0.25
unlikeable	0.0625	0.625
holometaboly	0.5	0.0
engaged	0.0625	0.0625
dubious	0.0	0.166666666667
heterogeneousness	0.125	0.625
biflagellate	0.125	0.0
limping	0.125	0.0
holometabola	0.125	0.0
debilitating	0.375	0.125
verified	0.25	0.0
hygienical	0.75	0.0
unrhymed	0.0	0.5
bedamn	0.125	0.5
reformatory	0.25	0.625
droopingly	0.125	0.0
visually	0.25	0.0
mercilessness	0.3125	0.375
edged	0.0625	0.1875
hideaway	0.125	0.0
deft	0.25	0.25
defy	0.0	0.125
deflate	0.125	0.0625
amuck	0.125	0.1875
wholeness	0.6875	0.0
effectivity	0.375	0.125
befittingly	0.25	0.0
chondriosome	0.25	0.0
difficultness	0.0	0.125
mephaquine	0.0	0.5
nonunionized	0.0	0.75
committedness	0.5	0.0
persistently	0.125	0.0
confute	0.0	0.5
steamed	0.0	0.625
disconcert	0.0625	0.3125
judiciously	0.25	0.0
interrupt	0.0833333333333	0.25
overconfident	0.5	0.0
inflexibleness	0.0	0.5
plumed	0.0	0.291666666667
dicky	0.0	0.5
scofflaw	0.0	0.25
overthrow	0.0	0.25
imperfective	0.0	0.5
categoric	0.0	0.5
zion	0.25	0.0
fluorouracil	0.0	0.375
unerring	0.125	0.875
chinchy	0.125	0.125
indocin	0.0	0.125
traffic	0.0	0.125
preference	0.3125	0.0
world	0.0	0.375
tremulous	0.0	0.5
sensational	1.0	0.0
thyroiditis	0.0	0.625
unrepentant	0.125	0.5
draggled	0.0	0.875
shutter	0.125	0.125
suprainfection	0.25	0.625
